hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,47000,442.59,137.477,0.060874,0.3914,11.1,22.23,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,48000,452.09,137.612,0.060614,0.4069,11.0,22.23,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,49000,461.63,136.954,0.060778,0.4011,11.2,22.25,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,50000,471.12,137.636,0.060911,0.3928,11.2,22.28,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,51000,480.67,137.583,0.060851,0.3991,11.0,22.33,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,52000,490.15,137.893,0.0603,0.3989,10.8,22.31,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,53000,499.65,137.778,0.060501,0.3844,10.8,22.32,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,54000,509.13,137.978,0.060342,0.3783,10.8,22.34,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,55000,518.63,137.596,0.060386,0.3772,11.0,22.36,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,56000,528.14,137.683,0.05996,0.3709,10.9,22.39,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,57000,537.64,137.701,0.059896,0.3824,11.0,22.41,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,58000,547.18,136.933,0.060271,0.3706,11.3,22.64,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,59000,556.87,134.315,0.05991,0.38,12.7,22.69,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,60000,566.43,136.528,0.059614,0.3666,12.0,22.46,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,61000,576.01,136.96,0.059444,0.3697,11.3,22.5,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,62000,585.5,137.807,0.059424,0.3536,10.9,22.53,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,63000,595.05,137.532,0.059514,0.3614,11.2,22.6,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,64000,604.51,138.034,0.059466,0.3547,10.7,22.65,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,65000,613.96,137.78,0.059464,0.3426,10.7,22.68,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,66000,623.43,137.82,0.059707,0.3508,10.7,22.6,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,67000,632.87,138.281,0.059282,0.338,10.3,22.61,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,68000,642.36,137.478,0.05957,0.3437,10.5,22.62,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,69000,651.81,138.08,0.059172,0.3409,10.8,22.69,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,70000,661.27,138.038,0.059332,0.3352,10.2,22.59,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,71000,670.82,137.02,0.059403,0.3373,10.7,22.64,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,72000,680.29,137.791,0.058671,0.3269,10.5,22.67,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,73000,689.73,138.167,0.059121,0.3264,10.3,22.71,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,74000,699.3,135.954,0.059185,0.3248,11.9,22.78,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,75000,708.82,136.689,0.058388,0.3214,11.2,22.58,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,76000,718.28,137.565,0.058978,0.3181,14.0,22.78,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,77000,727.71,138.353,0.058613,0.312,10.5,22.69,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,78000,737.18,137.714,0.058754,0.3098,10.4,22.74,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,79000,746.65,137.755,0.058599,0.3076,10.6,22.77,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,80000,756.14,137.594,0.05915,0.2994,10.5,22.69,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,81000,765.74,136.2,0.058815,0.3029,11.1,22.74,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,82000,775.21,137.509,0.058798,0.3006,10.7,22.78,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,83000,784.66,137.792,0.058093,0.2896,10.8,22.8,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,84000,794.12,137.617,0.058582,0.288,11.0,22.87,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,85000,803.86,133.136,0.058387,0.2934,12.8,22.79,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,86000,813.5,134.604,0.058772,0.2808,13.3,23.09,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,87000,823.09,135.488,0.058696,0.2839,11.7,23.04,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,88000,832.63,136.398,0.058304,0.2842,11.7,23.09,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,89000,842.19,136.051,0.057967,0.2825,11.0,23.13,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,90000,851.75,136.251,0.058541,0.278,11.5,22.99,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,91000,861.32,137.061,0.058596,0.271,11.3,23.01,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,92000,870.82,137.541,0.058396,0.2774,11.0,22.92,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,93000,880.28,138.172,0.058759,0.2697,10.8,23.05,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,94000,889.9,136.035,0.059139,0.2681,11.9,23.16,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,95000,899.41,137.415,0.058324,0.2711,11.2,23.04,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,96000,908.98,136.287,0.058641,0.266,11.4,23.04,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,97000,918.49,137.222,0.058312,0.2661,11.1,23.03,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,98000,927.99,137.743,0.058482,0.263,10.9,23.08,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,99000,937.51,137.257,0.058521,0.2619,11.1,23.02,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,100000,946.96,138.563,0.058288,0.262,10.4,22.85,0.23
