hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,47000,570.61,101.072,0.075424,0.1037,10.3,41.24,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,48000,582.75,100.889,0.0749,0.1021,10.3,41.26,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,49000,594.87,101.042,0.075102,0.1033,10.1,41.28,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,50000,606.99,101.012,0.074994,0.1035,10.7,41.3,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,51000,619.14,101.136,0.074964,0.1036,10.6,41.32,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,52000,631.25,101.212,0.074312,0.1038,10.3,41.35,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,53000,643.37,100.975,0.074337,0.1024,10.6,41.37,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,54000,655.49,101.109,0.074183,0.1031,11.0,41.45,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,55000,667.57,101.374,0.074029,0.1028,10.6,41.41,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,56000,679.66,101.314,0.073566,0.1026,10.7,41.44,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,57000,691.81,101.076,0.073566,0.1025,10.9,41.47,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,58000,703.98,100.836,0.073864,0.1029,11.0,41.49,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,59000,716.17,100.67,0.073445,0.1033,11.2,41.5,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,60000,728.33,100.98,0.073135,0.1032,11.0,41.53,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,61000,740.5,101.211,0.072802,0.1023,11.1,41.58,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,62000,752.64,101.142,0.073008,0.1032,10.7,41.63,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,63000,764.86,100.844,0.072984,0.1032,10.9,41.67,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,64000,777.01,101.046,0.072842,0.102,10.7,41.76,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,65000,789.15,101.032,0.072754,0.1028,11.5,41.93,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,66000,801.31,100.978,0.072976,0.1022,11.1,41.57,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,67000,813.44,101.261,0.072649,0.1027,10.6,41.6,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,68000,825.59,101.034,0.072737,0.1028,10.6,41.67,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,69000,837.73,101.115,0.072206,0.102,10.5,41.72,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,70000,849.89,100.876,0.072449,0.1022,10.9,41.67,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,71000,862.05,101.209,0.07258,0.103,10.6,41.71,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,72000,874.27,100.376,0.071791,0.1017,14.4,41.87,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,73000,886.39,101.104,0.072226,0.1017,10.5,41.87,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,74000,898.53,100.923,0.072341,0.1029,10.2,41.86,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,75000,910.6,101.41,0.071487,0.1016,10.1,41.88,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,76000,922.68,101.425,0.07208,0.1019,10.0,41.92,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,77000,934.81,101.123,0.071722,0.1019,10.0,41.94,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,78000,946.92,101.1,0.071802,0.1013,10.2,41.97,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,79000,959.12,100.348,0.071798,0.102,10.7,42.19,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,80000,971.23,101.019,0.07221,0.1018,12.8,41.97,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,81000,983.36,101.418,0.071899,0.1018,10.4,42.0,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,82000,995.44,101.576,0.071786,0.1014,9.7,42.02,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,83000,1007.55,101.189,0.071017,0.1005,9.6,42.05,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,84000,1019.63,101.614,0.071586,0.1014,9.7,42.07,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,85000,1031.72,101.507,0.071552,0.1024,9.9,42.09,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,86000,1043.78,101.656,0.071775,0.1004,9.8,42.13,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,87000,1055.87,101.51,0.071609,0.1012,9.7,42.15,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,88000,1067.97,101.355,0.071285,0.101,9.7,42.18,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,89000,1080.09,101.223,0.070966,0.1006,10.0,42.18,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,90000,1092.18,101.371,0.071508,0.1008,9.8,42.19,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,91000,1104.32,101.288,0.071556,0.1006,9.7,42.16,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,92000,1116.41,101.476,0.071427,0.101,9.7,42.18,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,93000,1128.52,101.549,0.071781,0.101,9.9,42.2,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,94000,1140.75,100.94,0.072116,0.101,10.3,42.23,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,95000,1152.87,101.52,0.071413,0.1003,10.1,42.25,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,96000,1165.0,101.54,0.071606,0.1005,10.0,42.26,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,97000,1177.11,101.584,0.071408,0.1009,10.0,42.26,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,98000,1189.26,101.318,0.071445,0.0998,10.1,42.28,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,99000,1201.39,101.469,0.0715,0.1006,10.1,42.29,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,100000,1213.54,101.112,0.071318,0.1005,11.8,42.37,0.349
