iteration,loss,bps,grad_norm
1000,0.332761,139.018,1.9168
2000,0.144872,141.346,0.2031
3000,0.117306,141.643,0.2153
4000,0.105494,141.314,0.2426
5000,0.096881,141.34,0.287
6000,0.091094,141.155,0.3648
7000,0.086339,141.347,0.4317
8000,0.082817,141.068,0.495
9000,0.079744,140.866,0.5631
10000,0.07737,141.119,0.5699
11000,0.075103,137.92,0.6101
12000,0.073371,139.653,0.5451
13000,0.072051,139.666,0.5765
14000,0.071108,139.379,0.5637
15000,0.070044,139.138,0.5534
16000,0.069323,139.002,0.5515
17000,0.068469,138.824,0.5268
18000,0.068378,138.456,0.5473
19000,0.067511,139.306,0.5163
20000,0.067202,139.121,0.5411
21000,0.066143,136.796,0.5408
22000,0.066,139.039,0.4989
23000,0.065516,139.219,0.5184
24000,0.065342,138.983,0.5238
25000,0.064804,139.189,0.5001
26000,0.065049,139.56,0.4763
27000,0.064424,138.427,0.4737
28000,0.064216,133.025,0.4883
29000,0.064279,137.326,0.4854
30000,0.063245,137.358,0.4689
31000,0.063275,137.055,0.4653
32000,0.063745,137.516,0.4778
33000,0.063223,137.808,0.4623
34000,0.063087,137.516,0.46
35000,0.062532,137.696,0.4543
36000,0.06342,137.179,0.4454
37000,0.062348,137.376,0.4427
38000,0.062303,137.661,0.4459
39000,0.06238,137.714,0.4199
40000,0.06223,137.714,0.4236
41000,0.061491,137.026,0.4228
42000,0.061516,137.4,0.4252
43000,0.061635,137.275,0.4286
44000,0.061202,137.227,0.4177
45000,0.061328,137.472,0.4086
46000,0.061542,137.61,0.42
47000,0.060874,137.477,0.3914
48000,0.060614,137.612,0.4069
49000,0.060778,136.954,0.4011
50000,0.060911,137.636,0.3928
51000,0.060851,137.583,0.3991
52000,0.0603,137.893,0.3989
53000,0.060501,137.778,0.3844
54000,0.060342,137.978,0.3783
55000,0.060386,137.596,0.3772
56000,0.05996,137.683,0.3709
57000,0.059896,137.701,0.3824
58000,0.060271,136.933,0.3706
59000,0.05991,134.315,0.38
60000,0.059614,136.528,0.3666
61000,0.059444,136.96,0.3697
62000,0.059424,137.807,0.3536
63000,0.059514,137.532,0.3614
64000,0.059466,138.034,0.3547
65000,0.059464,137.78,0.3426
66000,0.059707,137.82,0.3508
67000,0.059282,138.281,0.338
68000,0.05957,137.478,0.3437
69000,0.059172,138.08,0.3409
70000,0.059332,138.038,0.3352
71000,0.059403,137.02,0.3373
72000,0.058671,137.791,0.3269
73000,0.059121,138.167,0.3264
74000,0.059185,135.954,0.3248
75000,0.058388,136.689,0.3214
76000,0.058978,137.565,0.3181
77000,0.058613,138.353,0.312
78000,0.058754,137.714,0.3098
79000,0.058599,137.755,0.3076
80000,0.05915,137.594,0.2994
81000,0.058815,136.2,0.3029
82000,0.058798,137.509,0.3006
83000,0.058093,137.792,0.2896
84000,0.058582,137.617,0.288
85000,0.058387,133.136,0.2934
86000,0.058772,134.604,0.2808
87000,0.058696,135.488,0.2839
88000,0.058304,136.398,0.2842
89000,0.057967,136.051,0.2825
90000,0.058541,136.251,0.278
91000,0.058596,137.061,0.271
92000,0.058396,137.541,0.2774
93000,0.058759,138.172,0.2697
94000,0.059139,136.035,0.2681
95000,0.058324,137.415,0.2711
96000,0.058641,136.287,0.266
97000,0.058312,137.222,0.2661
98000,0.058482,137.743,0.263
99000,0.058521,137.257,0.2619
100000,0.058288,138.563,0.262
