hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,44000,533.13,100.837,0.07603,0.1045,10.1,49.28,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,45000,545.27,101.033,0.07593,0.1044,10.3,49.3,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,46000,557.42,100.792,0.076008,0.1045,11.5,49.57,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,47000,569.58,100.904,0.075282,0.1041,12.0,48.76,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,48000,581.78,100.658,0.07478,0.1028,11.1,48.72,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,49000,593.92,101.099,0.07504,0.1033,10.8,48.75,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,50000,606.05,101.233,0.074917,0.1038,10.4,48.78,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,51000,618.26,100.868,0.074844,0.1044,10.7,48.84,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,52000,630.44,100.78,0.074218,0.1039,10.9,48.86,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,53000,642.66,100.431,0.074304,0.103,10.8,48.88,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,54000,654.83,100.933,0.074105,0.1032,10.8,48.89,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,55000,666.97,101.002,0.073959,0.1031,10.9,48.92,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,56000,679.19,100.529,0.073477,0.1028,11.4,49.17,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,57000,691.35,100.891,0.073477,0.1027,11.2,48.56,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,58000,703.52,100.847,0.073785,0.1034,11.0,48.61,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,59000,715.72,100.704,0.073365,0.104,11.0,48.64,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,60000,727.9,100.772,0.073116,0.1037,10.8,48.67,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,61000,740.13,100.556,0.072749,0.1023,11.0,48.73,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,62000,752.27,100.989,0.072871,0.1032,10.6,48.78,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,63000,764.51,100.585,0.072875,0.1035,11.1,48.89,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,64000,776.66,101.014,0.072742,0.1023,10.6,48.96,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,65000,788.79,101.006,0.07266,0.1033,10.7,48.89,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,66000,800.94,100.888,0.072909,0.1027,10.5,48.92,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,67000,813.06,100.92,0.072539,0.1026,10.3,48.98,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,68000,825.19,100.842,0.072682,0.1032,10.5,49.03,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,69000,837.38,100.262,0.072161,0.1024,11.6,48.81,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,70000,849.48,101.173,0.072386,0.1025,10.3,48.42,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,71000,861.65,100.819,0.072453,0.1034,10.4,48.49,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,72000,873.76,101.048,0.071736,0.102,10.1,48.55,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,73000,885.93,100.553,0.072098,0.1019,10.6,48.62,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,74000,898.06,100.909,0.072294,0.103,10.5,48.8,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,75000,910.16,101.106,0.071429,0.102,9.8,48.22,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,76000,922.28,101.101,0.071989,0.1022,9.8,48.25,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,77000,934.38,101.139,0.071651,0.1019,10.0,48.32,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,78000,946.48,101.218,0.071725,0.1015,10.0,48.36,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,79000,958.58,101.243,0.071679,0.1026,10.4,48.72,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,80000,970.67,101.325,0.072076,0.1021,9.9,48.32,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,81000,982.85,100.832,0.071863,0.1027,10.1,48.4,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,82000,994.95,101.175,0.071685,0.1019,10.1,48.68,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,83000,1007.08,100.881,0.070943,0.1011,10.0,48.48,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,84000,1019.18,101.278,0.071524,0.102,9.9,48.49,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,85000,1031.35,100.859,0.071464,0.1028,11.8,48.55,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,86000,1043.48,101.167,0.071694,0.1008,11.2,48.58,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,87000,1055.86,98.901,0.071552,0.1016,12.4,48.56,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,88000,1068.0,101.093,0.071239,0.1013,10.8,48.39,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,89000,1080.11,101.497,0.070897,0.101,10.2,48.48,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,90000,1092.22,101.45,0.07142,0.1008,9.9,48.42,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,91000,1104.41,101.216,0.071444,0.1009,10.0,48.45,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,92000,1116.54,101.251,0.071312,0.1013,10.7,48.5,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,93000,1128.64,101.613,0.071653,0.1015,9.9,48.55,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,94000,1140.8,101.508,0.07204,0.101,10.2,48.66,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,95000,1152.91,101.433,0.071376,0.1007,10.5,48.6,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,96000,1165.02,101.487,0.071553,0.1009,9.9,48.62,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,97000,1177.18,101.126,0.071342,0.1014,10.2,48.68,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,98000,1189.33,101.237,0.071375,0.1005,9.9,48.71,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,99000,1201.44,101.512,0.071399,0.1008,9.9,48.77,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,100000,1213.56,101.4,0.071252,0.1006,10.3,48.75,0.349
