checkpoint_iter,bps
1000,26.577394216315145
2000,27.434836291896858
3000,27.39966247682548
4000,27.542924529667893
5000,27.272846029341597
6000,27.58820175098584
7000,27.524148836212206
8000,27.520456177092807
9000,27.624008070156943
10000,27.226036829497247
11000,23.509472265791093
12000,26.13204893092683
13000,27.449282846857873
14000,27.641444328047
15000,27.544508476224507
16000,27.592241334644577
17000,27.61876427709743
18000,27.43854819072703
19000,27.59304619847683
20000,27.58764521673553
21000,26.83920391860322
22000,26.997894767413516
23000,26.997561808960945
24000,26.649539341393382
25000,27.10740763123951
26000,26.98035108901793
27000,27.226913082361193
28000,27.234887489431987
29000,27.59218361279128
30000,28.33468577628166
31000,28.230528731055937
32000,28.416253854064657
33000,28.526165439278046
34000,28.609580879282362
35000,28.49697240254672
36000,28.60012286387773
37000,28.61458279970561
38000,28.56168009225966
39000,28.63121391309519
40000,28.56126874205923
41000,28.578850084869764
42000,28.577002035858214
43000,28.588240058078043
44000,28.5915046672112
45000,28.55620806217313
46000,28.64298773031264
47000,28.55277482154005
48000,28.622443565207842
49000,28.611862726330614
50000,28.60406024505956
51000,28.573562625753052
52000,28.560209205188446
53000,28.624820648877513
54000,28.54954256417721
55000,28.587153774272238
56000,28.60756553743997
57000,28.56362964491553
58000,28.633362576750315
59000,28.57093695104641
60000,28.592846233896335
61000,28.534353316947204
62000,28.55165605233334
63000,28.581836364233062
64000,28.570791959350455
65000,28.609417932012455
66000,28.54842987767204
67000,28.63177093583874
68000,28.61665594631888
69000,28.59737044214801
70000,28.621515420143187
71000,28.509520456497732
72000,28.563247999471326
73000,28.583322530747232
74000,28.60945774171304
75000,28.618457772070574
76000,28.609581464725004
77000,28.556075079441445
78000,28.577207644076548
79000,28.592989110466977
80000,28.562569932876016
81000,28.52543170764621
82000,28.591289887897616
83000,28.57268008050181
84000,28.570199357583572
85000,28.569165817731022
86000,28.588285264861522
87000,28.60760514686495
88000,28.627227044858117
89000,28.6018061679341
90000,28.58936793209529
91000,28.60248024722154
92000,28.566282381985022
93000,28.597031374205944
94000,28.50885017030832
95000,28.61139391483989
96000,28.6238069850826
97000,28.649541948612075
98000,28.572249728077498
99000,28.60417631351135
100000,28.59840075888136
