hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
Google Colab G4 NVIDIA RTX 6000,59000,311.78,309.812,0.059924,0.3779,2.4,4.73,0.042
Google Colab G4 NVIDIA RTX 6000,60000,317.24,298.894,0.059601,0.3631,2.2,4.73,0.042
Google Colab G4 NVIDIA RTX 6000,61000,322.62,306.224,0.059435,0.3595,2.4,4.73,0.042
Google Colab G4 NVIDIA RTX 6000,62000,327.93,312.363,0.059397,0.3536,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,63000,333.32,313.815,0.059551,0.3622,2.5,4.73,0.042
Google Colab G4 NVIDIA RTX 6000,64000,338.6,314.83,0.059431,0.3531,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,65000,343.89,314.187,0.059414,0.3388,2.4,4.73,0.042
Google Colab G4 NVIDIA RTX 6000,66000,349.17,314.484,0.059701,0.3563,2.1,4.73,0.042
Google Colab G4 NVIDIA RTX 6000,67000,354.52,308.48,0.059268,0.3429,2.5,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,68000,359.98,299.338,0.059541,0.3473,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,69000,365.43,299.482,0.059148,0.3447,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,70000,370.83,303.363,0.059319,0.3318,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,71000,376.15,312.64,0.059361,0.3402,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,72000,381.47,311.145,0.058665,0.3284,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,73000,386.79,311.892,0.059111,0.332,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,74000,392.1,311.741,0.059189,0.3235,2.2,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,75000,397.42,311.927,0.058405,0.3229,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,76000,402.74,311.864,0.058966,0.3181,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,77000,408.06,311.633,0.058597,0.3098,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,78000,413.38,311.362,0.05878,0.3133,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,79000,418.68,312.735,0.058568,0.3059,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,80000,423.95,315.716,0.059136,0.3006,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,81000,429.25,314.311,0.058808,0.3045,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,82000,434.54,313.208,0.058781,0.3003,2.2,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,83000,439.84,313.539,0.058068,0.2877,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,84000,445.13,313.122,0.058576,0.2876,2.2,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,85000,450.41,314.524,0.058378,0.2909,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,86000,455.68,315.49,0.058763,0.282,2.1,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,87000,460.96,314.769,0.058708,0.2836,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,88000,466.25,313.392,0.058306,0.2826,2.1,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,89000,471.54,313.6,0.057945,0.2814,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,90000,476.84,312.801,0.058535,0.2791,2.1,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,91000,482.14,313.396,0.05861,0.2708,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,92000,487.42,314.323,0.058399,0.2755,2.2,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,93000,492.69,315.571,0.058757,0.2696,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,94000,498.06,315.15,0.05914,0.2669,2.2,4.73,0.042
Google Colab G4 NVIDIA RTX 6000,95000,503.33,315.43,0.058307,0.2691,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,96000,508.6,315.302,0.058642,0.2684,2.1,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,97000,513.89,313.913,0.058316,0.2653,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,98000,519.19,313.243,0.058505,0.265,2.1,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,99000,524.48,313.979,0.058505,0.262,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,100000,529.75,315.473,0.058281,0.2609,2.2,4.75,0.042
