iteration,train_loss,lr,grad_norm
500,0.4607766298055649,5.0094999999999975e-06,1.3034429550170898
1000,0.19413950815796852,1.0008999999999985e-05,0.1027742549777031
1500,0.1426150042116642,1.5008499999999944e-05,0.10606139153242111
2000,0.12134342056512833,2.0008000000000043e-05,0.11840979009866714
2500,0.11026836906373501,2.5007500000000075e-05,0.1419772207736969
3000,0.10153373664617539,3.0007000000000148e-05,0.11126275360584259
3500,0.09430723750591279,3.5006500000000296e-05,0.16485317051410675
4000,0.0905812970995903,4.000600000000064e-05,0.23803463578224182
4500,0.08593846420943738,4.500550000000095e-05,0.20549261569976807
5000,0.0828547021150589,5.000500000000127e-05,0.32703807950019836
5500,0.07963452814519405,5.500450000000153e-05,0.2948260009288788
6000,0.07752798342704773,6.000400000000156e-05,0.23352806270122528
6500,0.0757436820268631,6.500350000000182e-05,0.6898255944252014
7000,0.07447174802422524,7.000300000000225e-05,0.62578946352005
7500,0.07323143995553255,7.500250000000287e-05,0.6172904968261719
8000,0.0718909990414977,8.000200000000353e-05,0.36093729734420776
8500,0.07063498049974441,8.500150000000407e-05,0.35937586426734924
9000,0.06998010291904211,9.000100000000458e-05,0.35779842734336853
9500,0.0693977587223053,9.500050000000504e-05,0.4046761989593506
10000,0.06836984298378229,0.0001,0.457681268453598
10500,0.06784438621252775,9.999238475781971e-05,0.456878662109375
11000,0.06733118694275618,9.996954135095483e-05,0.3377875089645386
11500,0.06677841953933239,9.993147673772859e-05,1.2557727098464966
12000,0.0664707248583436,9.987820251299121e-05,0.23527441918849945
12500,0.06564557743817567,9.980973490458724e-05,0.4563431143760681
13000,0.06524959728866815,9.972609476841343e-05,0.7643133997917175
13500,0.06504140593111515,9.962730758206599e-05,0.622837483882904
14000,0.06487641912698745,9.951340343707838e-05,0.5097354650497437
14500,0.06430921196192503,9.938441702975678e-05,0.38231056928634644
15000,0.06402386987954378,9.924038765061023e-05,0.45056989789009094
15500,0.06359310542047024,9.908135917238313e-05,0.4320952594280243
16000,0.06327791067957877,9.890738003669022e-05,0.2581745982170105
16500,0.06324272914975881,9.871850323926172e-05,0.5976771116256714
17000,0.06284410621225833,9.851478631379977e-05,0.5181697607040405
17500,0.06271566494554282,9.829629131445334e-05,0.7061091661453247
18000,0.06252095460146666,9.806308479691593e-05,0.46054449677467346
18500,0.06241686030477285,9.781523779815184e-05,0.7433375120162964
19000,0.06188465543836355,9.755282581475785e-05,0.47899380326271057
19500,0.06193969535827637,9.72759287799661e-05,0.4795914590358734
20000,0.06164530879259109,9.698463103929569e-05,0.3857934772968292
20500,0.061442555040121076,9.66790213248602e-05,0.38562488555908203
21000,0.06121690984070301,9.635919272833957e-05,0.6040777564048767
21500,0.061015973173081876,9.602524267262226e-05,0.4691886305809021
22000,0.06148559690266848,9.567727288213015e-05,0.2824685573577881
22500,0.060830342389643195,9.531538935183276e-05,0.34503084421157837
23000,0.06078825802356005,9.493970231495872e-05,0.3485800325870514
23500,0.06082756645232439,9.455032620941863e-05,0.2748287618160248
24000,0.06030937445163727,9.414737964294648e-05,1.0040875673294067
24500,0.060177706986665726,9.373098535697005e-05,0.3078216314315796
25000,0.06028712675720453,9.330127018922233e-05,0.3776848614215851
25500,0.0601683356910944,9.28583650351059e-05,0.6442393064498901
26000,0.06019395583122969,9.240240480782173e-05,0.33776339888572693
26500,0.05985057943314314,9.19335283972716e-05,0.2680146098136902
27000,0.059677256420254704,9.145187862775259e-05,0.5102271437644958
27500,0.059464666977524755,9.095760221445021e-05,0.31712162494659424
28000,0.05975739746540785,9.045084971874802e-05,0.24809664487838745
28500,0.05933390659093857,8.993177550236555e-05,0.22493088245391846
29000,0.05933343448489904,8.940053768033712e-05,0.40596818923950195
29500,0.0594882435426116,8.885729807284961e-05,0.398987740278244
30000,0.059446359239518645,8.830222215594977e-05,0.41688624024391174
30500,0.05885878401249647,8.773547901113954e-05,0.3958425223827362
31000,0.058913208179175856,8.715724127387056e-05,0.4929027855396271
31500,0.05919589450210333,8.656768508095941e-05,0.36852505803108215
32000,0.058688008189201356,8.596699001693351e-05,0.294342964887619
32500,0.05867348923534155,8.535533905932826e-05,0.43312013149261475
33000,0.058688079662621025,8.47329185229507e-05,0.4666384160518646
33500,0.0586113753542304,8.409991800312557e-05,0.45498767495155334
34000,0.058635368026793006,8.345653031794347e-05,0.23998357355594635
34500,0.05827370519191027,8.280295144952591e-05,0.36613836884498596
35000,0.05814260096848011,8.213938048432784e-05,0.5479191541671753
35500,0.0583099112957716,8.146601955249265e-05,0.3282386064529419
36000,0.0581536854878068,8.078307376628377e-05,0.22699201107025146
36500,0.058183680012822155,8.00907511576033e-05,0.28259414434432983
37000,0.0582983703315258,7.938926261462431e-05,0.33724820613861084
37500,0.05815608890354634,7.867882181755305e-05,0.4471571743488312
